"Statistic Label","Year","County","UNIT","VALUE"
"Persons Killed","2007","Co. Roscommon","Number","7"
"Persons Killed","2007","Co. Sligo","Number","7"
"Persons Killed","2007","Co. Cavan","Number","10"
"Persons Killed","2007","Co. Donegal","Number","22"
"Persons Killed","2007","Co. Monaghan","Number","6"
"Persons Killed","2008","Co. Carlow","Number","1"
"Persons Killed","2008","Co. Dublin","Number","22"
"Persons Killed","2008","Co. Kildare","Number","13"
"Persons Killed","2008","Co. Kilkenny","Number","5"
"Persons Killed","2008","Co. Laois","Number","12"
"Persons Killed","2008","Co. Longford","Number","3"
"Persons Killed","2008","Co. Louth","Number","7"
"Persons Killed","2008","Co. Meath","Number","9"
"Persons Killed","2008","Co. Offaly","Number","8"
"Persons Killed","2008","Co. Westmeath","Number","3"
"Persons Killed","2008","Co. Wexford","Number","16"
"Persons Killed","2008","Co. Wicklow","Number","4"
"Persons Killed","2008","Co. Clare","Number","7"
"Persons Killed","2008","Co. Cork","Number","24"
"Persons Killed","2008","Co. Kerry","Number","19"
"Persons Killed","2008","Co. Limerick","Number","18"
"Persons Killed","2008","Co. Tipperary","Number","21"
"Persons Killed","2008","Co. Waterford","Number","7"
"Persons Killed","2008","Co. Galway","Number","24"
"Persons Killed","2008","Co. Leitrim","Number","5"
"Persons Killed","2008","Co. Mayo","Number","10"
"Persons Killed","2008","Co. Roscommon","Number","3"
"Persons Killed","2008","Co. Sligo","Number","7"
"Persons Killed","2008","Co. Cavan","Number","8"
"Persons Killed","2008","Co. Donegal","Number","18"
"Persons Killed","2008","Co. Monaghan","Number","5"
"Persons Killed","2009","Co. Carlow","Number","3"
"Persons Killed","2009","Co. Dublin","Number","31"
"Persons Killed","2009","Co. Kildare","Number","10"
"Persons Killed","2009","Co. Kilkenny","Number","5"
"Persons Killed","2009","Co. Laois","Number","5"
"Persons Killed","2009","Co. Longford","Number","2"
"Persons Killed","2009","Co. Louth","Number","5"
"Persons Killed","2009","Co. Meath","Number","12"
"Persons Killed","2009","Co. Offaly","Number","4"
"Persons Killed","2009","Co. Westmeath","Number","4"
"Persons Killed","2009","Co. Wexford","Number","4"
"Persons Killed","2009","Co. Wicklow","Number","4"
"Persons Killed","2009","Co. Clare","Number","7"
"Persons Killed","2009","Co. Cork","Number","21"
"Persons Killed","2009","Co. Kerry","Number","12"
"Persons Killed","2009","Co. Limerick","Number","22"
"Persons Killed","2009","Co. Tipperary","Number","12"
"Persons Killed","2009","Co. Waterford","Number","3"
"Persons Killed","2009","Co. Galway","Number","23"
"Persons Killed","2009","Co. Leitrim","Number","0"
"Persons Killed","2009","Co. Mayo","Number","10"
"Persons Killed","2009","Co. Roscommon","Number","4"
"Persons Killed","2009","Co. Sligo","Number","7"
"Persons Killed","2009","Co. Cavan","Number","9"
"Persons Killed","2009","Co. Donegal","Number","14"
"Persons Killed","2009","Co. Monaghan","Number","5"
"Persons Killed","2010","Co. Carlow","Number","5"
"Persons Killed","2010","Co. Dublin","Number","20"
"Persons Killed","2010","Co. Kildare","Number","11"
"Persons Killed","2010","Co. Kilkenny","Number","6"
"Persons Killed","2010","Co. Laois","Number","9"
"Persons Killed","2010","Co. Longford","Number","2"
"Persons Killed","2010","Co. Louth","Number","8"
"Persons Killed","2010","Co. Meath","Number","6"
"Persons Killed","2010","Co. Offaly","Number","4"
"Persons Killed","2010","Co. Westmeath","Number","7"
"Persons Killed","2010","Co. Wexford","Number","9"
"Persons Killed","2010","Co. Wicklow","Number","5"
"Persons Killed","2010","Co. Clare","Number","4"
"Persons Killed","2010","Co. Cork","Number","18"
"Persons Killed","2010","Co. Kerry","Number","11"
"Persons Killed","2010","Co. Limerick","Number","18"
"Persons Killed","2010","Co. Tipperary","Number","6"
"Persons Killed","2010","Co. Waterford","Number","5"
"Persons Killed","2010","Co. Galway","Number","6"
"Persons Killed","2010","Co. Leitrim","Number","3"
"Persons Killed","2010","Co. Mayo","Number","7"
"Persons Killed","2010","Co. Roscommon","Number","9"
"Persons Killed","2010","Co. Sligo","Number","3"
"Persons Killed","2010","Co. Cavan","Number","7"
"Persons Killed","2010","Co. Donegal","Number","19"
"Persons Killed","2010","Co. Monaghan","Number","4"
"Persons Killed","2011","Co. Carlow","Number","3"
"Persons Killed","2011","Co. Dublin","Number","11"
"Persons Killed","2011","Co. Kildare","Number","15"
"Persons Killed","2011","Co. Kilkenny","Number","6"
"Persons Killed","2011","Co. Laois","Number","1"
"Persons Killed","2011","Co. Longford","Number","2"
"Persons Killed","2011","Co. Louth","Number","6"
"Persons Killed","2011","Co. Meath","Number","4"
"Persons Killed","2011","Co. Offaly","Number","4"
"Persons Killed","2011","Co. Westmeath","Number","6"
"Persons Killed","2011","Co. Wexford","Number","5"
"Persons Killed","2011","Co. Wicklow","Number","3"
"Persons Killed","2011","Co. Clare","Number","2"
"Persons Killed","2011","Co. Cork","Number","27"
"Persons Killed","2011","Co. Kerry","Number","7"
"Persons Killed","2011","Co. Limerick","Number","15"
"Persons Killed","2011","Co. Tipperary","Number","11"
"Persons Killed","2011","Co. Waterford","Number","7"
"Persons Killed","2011","Co. Galway","Number","13"
"Persons Killed","2011","Co. Leitrim","Number","1"
"Persons Killed","2011","Co. Mayo","Number","12"
"Persons Killed","2011","Co. Roscommon","Number","5"
"Persons Killed","2011","Co. Sligo","Number","3"
"Persons Killed","2011","Co. Cavan","Number","5"
"Persons Killed","2011","Co. Donegal","Number","6"
"Persons Killed","2011","Co. Monaghan","Number","6"
"Persons Killed","2012","Co. Carlow","Number","2"
"Persons Killed","2012","Co. Dublin","Number","12"
"Persons Killed","2012","Co. Kildare","Number","1"
"Persons Killed","2012","Co. Kilkenny","Number","3"
"Persons Killed","2012","Co. Laois","Number","0"
"Persons Killed","2012","Co. Longford","Number","5"
"Persons Killed","2012","Co. Louth","Number","7"
"Persons Killed","2012","Co. Meath","Number","14"
"Persons Killed","2012","Co. Offaly","Number","7"
"Persons Killed","2012","Co. Westmeath","Number","5"
"Persons Killed","2012","Co. Wexford","Number","9"
"Persons Killed","2012","Co. Wicklow","Number","3"
"Persons Killed","2012","Co. Clare","Number","2"
"Persons Killed","2012","Co. Cork","Number","21"
"Persons Killed","2012","Co. Kerry","Number","7"
"Persons Killed","2012","Co. Limerick","Number","5"
"Persons Killed","2012","Co. Tipperary","Number","5"
"Persons Killed","2012","Co. Waterford","Number","3"
"Persons Killed","2012","Co. Galway","Number","19"
"Persons Killed","2012","Co. Leitrim","Number","0"
"Persons Killed","2012","Co. Mayo","Number","7"
"Persons Killed","2012","Co. Roscommon","Number","3"
"Persons Killed","2012","Co. Sligo","Number","4"
"Persons Killed","2012","Co. Cavan","Number","10"
"Persons Killed","2012","Co. Donegal","Number","7"
"Persons Killed","2012","Co. Monaghan","Number","2"
"Persons Killed","2013","Co. Carlow","Number","2"
